Model,MAE,RMSE,train_seconds,note
Random Forest (tuned),3.173578378594733,4.414343614182964,85.10799431800842,
LSTM,3.189877986907959,4.650160526253032,54.08291220664978,
Random Forest (default),3.2716897147796025,4.527852332447917,3.814743757247925,
Linear Regression,3.663466137635655,5.011112340669748,0.02797222137451172,
SARIMA,4.6571248150447495,6.63183585363026,27.16729736328125,"fit on last 1440h/junction, evaluated on first 336h of validation window"
